headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Brag","v.","ho ithorisa","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Braid","v.","ho loha, phétha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Brain","n.","buko; (the tntel-levt) kelello","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Braise","v.","ho nt&a matetetso, ho tetetsa; to be braised, ho phobéla: n. letetetso, mororopa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Brake","un.","ntho e khinang ma-bili.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bramble","vi.","sebayoa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bran","n.","semelesi.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Branch","n.","(of a tree) lekala; (of a family) lesika, mo-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Brand","n.","(a piece of wood","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Brandish","v.","ho eka, nonya. Brandy n. yoala ba seKhooa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Brarery","n.","bohale, bonatla. |","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Brass","n.",", koporo, tepe e tse-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Brave","adj.","e sa tsabeng, e","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
